taxonomy_degree	taxonomy	tax_study
class	Phycisphaerae	root:Engineered:34|root:Environmental:260|root:Host-associated:10|root:Mixed:1
class	Phyllopharyngea	root:Environmental:7
class	Picomonadea	root:Environmental:26
class	Pinopsida	root:Environmental:1
class	Plagiopylea	root:Environmental:1
class	Planctomycetia	root:Engineered:52|root:Environmental:390|root:Host-associated:58|root:Mixed:3
class	Polychaeta	root:Engineered:1|root:Environmental:53|root:Host-associated:10
class	Polycystinea	root:Environmental:105|root:Host-associated:3|root:NA:1
class	Polypodiopsida	root:Environmental:1|root:Host-associated:1
class	Prostomatea	root:Environmental:3
class	Pucciniomycetes	root:Engineered:2|root:Environmental:1|root:Host-associated:12
class	RB25	root:Environmental:1
class	RF3	root:Engineered:5|root:Environmental:1|root:Host-associated:4
class	Raphidophyceae	root:Environmental:4
class	Rhodellophyceae	root:Environmental:1
class	Rhodothermia	root:Environmental:3
class	Rozellomycotina cls Incertae sedis	root:Environmental:1
class	Rubrobacteria	root:Engineered:15|root:Environmental:78|root:Host-associated:32|root:Mixed:3
class	S085	root:Environmental:3
class	SAR202	root:Engineered:1|root:Environmental:11|root:Host-associated:1
class	SC3	root:Engineered:1
class	SC72	root:Engineered:3
class	SHA-109	root:Host-associated:1
class	SHA-114	root:Engineered:1
class	SHA-37	root:Engineered:1
class	SJA-176	root:Environmental:2
class	SJA-28	root:Engineered:4
class	SJA-4	root:Environmental:1|root:Host-associated:1
class	SL56	root:Environmental:12
class	Saccharomycetes	root:Engineered:24|root:Environmental:21|root:Host-associated:27|root:Mixed:3
class	Sagittoidea	root:Environmental:9|root:Host-associated:1
class	Saprospiria	root:Engineered:26|root:Environmental:157|root:Host-associated:29|root:Mixed:4
class	Schizosaccharomycetes	root:Environmental:1
class	Scyphozoa	root:Environmental:4|root:Mixed:1
class	Solibacteres	root:Engineered:11|root:Environmental:108|root:Host-associated:25|root:Mixed:2
class	Sordariomycetes	root:Engineered:17|root:Environmental:37|root:Host-associated:37
class	Spartobacteria	root:Engineered:5|root:Environmental:71|root:Host-associated:15|root:Mixed:4
class	Sphingobacteriia	root:Control:1|root:Engineered:62|root:Environmental:179|root:Host-associated:77|root:Mixed:3
class	Spirochaetes	root:Engineered:27|root:Environmental:13|root:Host-associated:49|root:Engineered:180|root:Environmental:233|root:Host-associated:421|root:Mixed:12
class	Spirochaetia	root:Engineered:69|root:Environmental:88|root:Host-associated:158|root:Mixed:6
class	Spirotrichea	root:Engineered:2|root:Environmental:145|root:Host-associated:2|root:Mixed:1
class	Staurozoa	root:Environmental:1
class	Stenolaemata	root:Host-associated:1
class	Sva0725	root:Environmental:10|root:Host-associated:3|root:Environmental:3|root:Host-associated:3
class	Synechococcophycideae	root:Engineered:13|root:Environmental:74|root:Host-associated:13
class	Synergistia	root:Engineered:89|root:Environmental:12|root:Host-associated:36|root:Mixed:1
class	Synurophyceae	root:Environmental:16
class	TG3	root:Engineered:2|root:Environmental:1
class	TK10	root:Environmental:1|root:Host-associated:2
class	TK17	root:Environmental:1|root:Host-associated:1
class	TM1	root:Environmental:4
class	TM7-1	root:Environmental:4|root:Host-associated:3
class	TM7-3	root:Engineered:7|root:Environmental:6|root:Host-associated:40
class	Taphrinomycetes	root:Environmental:1|root:Host-associated:3
class	Tentaculata	root:Environmental:4
class	Tepidiformia	root:Environmental:1
class	Thaliacea	root:Environmental:9|root:Host-associated:1
class	Thaumarchaeota	root:Engineered:3|root:Environmental:85|root:Host-associated:20|root:Engineered:11|root:Environmental:463|root:Host-associated:36|root:Mixed:5
class	Thecofilosea	root:Environmental:3
class	Thermoanaerobaculia	root:Environmental:1
class	Thermobacula	root:Environmental:1
class	Thermococci	root:Engineered:1|root:Environmental:45
class	Thermodesulfobacteria	root:Environmental:12|root:Environmental:10
class	Thermoflexia	root:Environmental:7
class	Thermoleophilia	root:Engineered:35|root:Environmental:223|root:Host-associated:71|root:Mixed:5
class	Thermomicrobia	root:Engineered:37|root:Environmental:21|root:Host-associated:7
class	Thermoplasmata	root:Engineered:22|root:Environmental:211|root:Host-associated:25|root:Mixed:1
class	Thermoprotei	root:Engineered:2|root:Environmental:39|root:Mixed:1
class	Thermotogae	root:Engineered:54|root:Environmental:31|root:Host-associated:1|root:Mixed:1|root:Engineered:75|root:Environmental:40|root:Host-associated:4|root:Mixed:2
class	Tissierellia	root:Engineered:31|root:Environmental:14|root:Host-associated:88|root:Mixed:5
class	Trebouxiophyceae	root:Engineered:3|root:Environmental:12|root:Host-associated:2|root:Mixed:1|root:Environmental:1|root:Host-associated:1
class	Trematoda	root:Engineered:1|root:Environmental:2
class	Tremellomycetes	root:Engineered:8|root:Environmental:11|root:Host-associated:16
class	Ulvophyceae	root:Environmental:13|root:Host-associated:10
class	Umbelopsidomycetes	root:Environmental:2|root:Host-associated:2
class	Ustilaginomycetes	root:Engineered:1|root:Environmental:5|root:Host-associated:7
class	VC2 1 Bac22	root:Environmental:1
class	VHS-B5-50	root:Environmental:2
class	Verruco-5	root:Engineered:3|root:Environmental:1|root:Host-associated:20
class	Verrucomicrobiae	root:Control:1|root:Engineered:37|root:Environmental:355|root:Host-associated:245|root:Mixed:7|root:NA:1
class	Vicinamibacteria	root:Environmental:1
class	WCHB1-03	root:Environmental:1
class	WCHB1-64	root:Engineered:1
class	WWE1	root:Environmental:2|root:Engineered:23|root:Environmental:3|root:Host-associated:2
class	Xylonomycetes	root:Environmental:1|root:Host-associated:2
class	ZB2	root:Environmental:5|root:Host-associated:2
class	Zetaproteobacteria	root:Engineered:3|root:Environmental:12|root:Host-associated:5
class	[Brachyspirae]	root:Engineered:1|root:Host-associated:4
class	[Brevinematae]	root:Environmental:1
class	[Brocadiae]	root:Engineered:2|root:Environmental:2
class	[Chloracidobacteria]	root:Engineered:11|root:Environmental:95|root:Host-associated:21
class	[Cloacamonae]	root:Engineered:13|root:Environmental:1
class	[Fimbriimonadia]	root:Engineered:2|root:Environmental:2
class	[Lentisphaeria]	root:Environmental:2|root:Host-associated:8
class	[Leptospirae]	root:Engineered:3|root:Host-associated:2
class	[Methylacidiphilae]	root:Environmental:7
class	[Micrarchaea]	root:Engineered:1|root:Environmental:3
class	[Nanoarchaeoti]	root:Engineered:1|root:Environmental:1
class	[Parvarchaea]	root:Engineered:1|root:Environmental:6
class	[Pedosphaerae]	root:Engineered:3|root:Environmental:39|root:Host-associated:8
class	[Rhodothermi]	root:Engineered:4|root:Environmental:25|root:Host-associated:3
class	[Saprospirae]	root:Engineered:46|root:Environmental:164|root:Host-associated:52
class	[Spartobacteria]	root:Engineered:4|root:Environmental:52|root:Host-associated:3
class	[Thermobacula]	root:Environmental:1
class	iii1-8	root:Engineered:1|root:Environmental:18|root:Host-associated:2
class	koll11	root:Environmental:2
class	pISA9	root:Environmental:1
class	pUWA2	root:Environmental:1
class	vadinHA49	root:Host-associated:1
class	wb1-A12	root:Environmental:2
family	0319-6A21	root:Engineered:1|root:Environmental:25|root:Host-associated:4
family	0319-6G20	root:Host-associated:1
family	125ds10	root:Host-associated:1
family	20c-4	root:Engineered:1
family	211ds20	root:Engineered:1|root:Environmental:1
family	55 st3	root:Environmental:2
family	5bav B4	root:Environmental:1
family	A4b	root:Engineered:1|root:Environmental:3|root:Host-associated:2
family	A714017	root:Environmental:17|root:Host-associated:1
family	ACK-M1	root:Engineered:1|root:Environmental:46
family	AEGEAN 112	root:Environmental:3
family	AEGEAN 185	root:Environmental:1
family	AKIW874	root:Engineered:2|root:Environmental:3|root:Host-associated:1
family	ANME-2D	root:Engineered:1|root:Environmental:10
family	ANME-2a-2b	root:Engineered:1
family	Acanthamoebidae	root:Engineered:1|root:Environmental:5
family	Acanthochiasmidae	root:Environmental:1
family	Acanthocystidae	root:Environmental:1
family	Acanthoecidae	root:Environmental:1
family	Acanthogorgiidae	root:Environmental:1|root:Host-associated:1
family	Acanthometridae	root:Environmental:1
family	Acartiidae	root:Environmental:9
family	Acaryochloridaceae	root:Engineered:1|root:Environmental:2|root:Host-associated:3
family	Acetobacteraceae	root:Engineered:28|root:Environmental:108|root:Host-associated:33|root:Mixed:1
family	Achnanthaceae	root:Environmental:1
family	Acholeplasmataceae	root:Engineered:7|root:Environmental:20|root:Host-associated:2
family	Acidaminococcaceae	root:Engineered:7|root:Environmental:2|root:Host-associated:79|root:Mixed:1
family	Acidiferrobacteraceae	root:Engineered:5|root:Environmental:8
family	Acidilobaceae	root:Environmental:4
family	Acidimicrobiaceae	root:Engineered:8|root:Environmental:95|root:Host-associated:10|root:Mixed:1
family	Acidithiobacillaceae	root:Engineered:4|root:Environmental:12|root:Host-associated:1
family	Acidobacteriaceae	root:Engineered:6|root:Environmental:118|root:Host-associated:32|root:Mixed:1
family	Acidothermaceae	root:Environmental:25|root:Host-associated:1
family	Acinetidae	root:Environmental:2
family	Acroporidae	root:Environmental:3|root:Host-associated:5
family	Actinommidae	root:Environmental:8
family	Actinomycetaceae	root:Engineered:6|root:Environmental:7|root:Host-associated:141
family	Actinopolysporaceae	root:Environmental:1
family	Actinoposthiidae	root:Environmental:1
family	Actinospicaceae	root:Environmental:2
